index:ID,actor,:LABEL
30199,PeterPalmer,演员
30200,初井言荣,演员
30201,梁朝伟,演员
30202,丸山裕子,演员
30203,佩曼·莫阿迪,演员
30204,WilliamF.Leicester,演员
30205,宫口精二,演员
30206,马达范,演员
30207,胡军,演员
30208,克里斯汀娜·安娜波,演员
30209,杰弗里·德曼,演员
30210,苏拉·沙玛,演员
30211,比尔·奈伊,演员
30212,罗伯塔·马克斯韦尔,演员
30213,乔纳森·泰勒·托马斯,演员
30214,扎克·加利凡纳基斯,演员
30215,JanetShaw,演员
30216,肯尼思·洛纳根,演员
30217,薛耿求,演员
30218,罗伯特·迈尔斯,演员
30219,斯科特·安第斯,演员
30220,克拉拉·卡拉马伊,演员
30221,亚历克斯·霍,演员
30222,泰伦斯·霍华德,演员
30223,比莉·库克,演员
30224,爱尔莎·兰切斯特,演员
30225,杰西卡·查斯坦,演员
30226,伊恩·莫利·梅尔德伦,演员
30227,MiraMcKinney,演员
30228,阿诺德·沃斯洛,演员
30229,雅克·贝汉,演员
30230,梅·维贾,演员
30231,卡夏·斯穆特尼亚克,演员
30232,昆林·艾格匹,演员
30233,米歇尔·威廉姆斯,演员
30234,迪布拉·穆尼,演员
30235,特里-托马斯,演员
30236,托马斯·阿诺德,演员
30237,梅利莎·古德温,演员
30238,伊安·布尔费尔德,演员
30239,温水洋一,演员
30240,刘广宁,演员
30241,金士杰,演员
30242,鲁伯特·雷德,演员
30243,丹·哈达亚,演员
30244,海利·安妮·内尔森,演员
30245,凯拉·奈特莉,演员
30246,罗伯特·泰勒,演员
30247,克里斯托弗·马克斯韦尔,演员
30248,拉塞尔·皮特斯,演员
30249,小林薰,演员
30250,麦克·韦柏,演员
30251,乔·曼特纳,演员
30252,米歇尔·罗班,演员
30253,让·德尔瓦尔,演员
30254,塞缪尔·洛德·布莱克,演员
30255,伍迪·哈里森,演员
30256,列维·施瑞博尔,演员
30257,伯纳德·怀特,演员
30258,杰瑞米·艾恩斯,演员
30259,祖德·塞克利拉,演员
