index:ID,director,:LABEL
20132,邓肯·琼斯,导演
20133,程小东,导演
20134,弗兰克·德拉邦特,导演
20135,马丁·布莱斯特,导演
20136,小津安二郎,导演
20137,弗朗西斯·福特·科波拉,导演
20138,奥利维埃·纳卡什,导演
20139,巴瑞·莱文森,导演
20140,吴宇森,导演
20141,汤姆·提克威,导演
20142,罗杰·阿勒斯,导演
20143,陈凯歌,导演
20144,岩井俊二,导演
20145,阿德里安·莫利纳,导演
20146,洛芙琳·坦丹,导演
20147,拉斯·霍尔斯道姆,导演
20148,彼得·杰克逊,导演
20149,唐澄,导演
20150,奥里奥尔·保罗,导演
20151,柯克·德·米科,导演
20152,莫滕·泰杜姆,导演
20153,西恩·潘,导演
20154,茂文·勒鲁瓦,导演
20155,加文·欧康诺,导演
20156,罗伯·莱纳,导演
20157,严定宪,导演
20158,汉内斯·赫尔姆,导演
20159,杰拉德·布什,导演
20160,丹尼·博伊尔,导演
20161,阿尔弗雷德·希区柯克,导演
20162,李安,导演
20163,华森·波克彭,导演
20164,M·奈特·沙马兰,导演
20165,泷田洋二郎,导演
20166,罗启锐,导演
20167,李濬益,导演
20168,拉吉库马尔·希拉尼,导演
20169,詹姆斯·沃德·布柯特,导演
20170,米洛斯·福尔曼,导演
20171,达米恩·查泽雷,导演
20172,克里斯·雷纳德,导演
20173,埃里克·托莱达诺,导演
20174,陈可辛,导演
20175,约翰·卡尼,导演
20176,朗·霍华德,导演
20177,保罗·哈吉斯,导演
20178,王家卫,导演
20179,让-皮埃尔·热内,导演
20180,雅克·克鲁奥德,导演
20181,安德鲁·尼科尔,导演
20182,麦兆辉,导演
20183,雷德利·斯科特,导演
20184,莉莉·沃卓斯基,导演
20185,赛尔乔·莱昂内,导演
20186,李惠民,导演
20187,让-马克·瓦雷,导演
20188,奉俊昊,导演
20189,克里斯·哥伦布,导演
20190,特瑞·乔治,导演
20191,汤姆·霍珀,导演
20192,萨姆·门德斯,导演
20193,斯坦利·库布里克,导演
20194,达米安·斯兹弗隆,导演
20195,吉恩·凯利,导演
20196,李焕庆,导演
20197,刘镇伟,导演
