:START_ID,:END_ID,relation,:TYPE
20168,32328,合作,合作
20102,33300,合作,合作
20102,32803,合作,合作
20102,32697,合作,合作
20102,30587,合作,合作
20102,32631,合作,合作
20102,30017,合作,合作
20102,30870,合作,合作
20102,30655,合作,合作
20102,32127,合作,合作
20102,30274,合作,合作
20102,30297,合作,合作
20102,30378,合作,合作
20102,30095,合作,合作
20102,30941,合作,合作
20102,30836,合作,合作
20102,31069,合作,合作
20102,31838,合作,合作
20102,30948,合作,合作
20102,31438,合作,合作
20102,30084,合作,合作
20102,32837,合作,合作
20105,32720,合作,合作
20105,30059,合作,合作
20105,32575,合作,合作
20105,30338,合作,合作
20105,32661,合作,合作
20105,32759,合作,合作
20105,32466,合作,合作
20105,32881,合作,合作
20105,31676,合作,合作
20105,31442,合作,合作
20105,33054,合作,合作
20105,33106,合作,合作
20105,32994,合作,合作
20105,33198,合作,合作
20105,30828,合作,合作
20105,30229,合作,合作
20096,31244,合作,合作
20096,32393,合作,合作
20096,30985,合作,合作
20096,32368,合作,合作
20096,31659,合作,合作
20197,30978,合作,合作
20197,30744,合作,合作
20197,30659,合作,合作
20197,33222,合作,合作
20197,30153,合作,合作
20197,32156,合作,合作
20197,31226,合作,合作
20197,30393,合作,合作
20197,32336,合作,合作
20197,31511,合作,合作
20109,31862,合作,合作
20109,32632,合作,合作
20109,30225,合作,合作
20109,32749,合作,合作
20109,32129,合作,合作
20109,31219,合作,合作
20109,30749,合作,合作
20109,32162,合作,合作
20109,32382,合作,合作
20109,30453,合作,合作
20109,31929,合作,合作
20109,32793,合作,合作
20109,30650,合作,合作
20109,30194,合作,合作
20109,32134,合作,合作
20109,30943,合作,合作
20109,33074,合作,合作
20109,31396,合作,合作
20109,30906,合作,合作
20109,31940,合作,合作
20109,30327,合作,合作
20109,31033,合作,合作
20109,31646,合作,合作
20109,31889,合作,合作
20109,30543,合作,合作
20109,31171,合作,合作
20109,32515,合作,合作
20109,31421,合作,合作
20082,33040,合作,合作
20082,33272,合作,合作
20082,30483,合作,合作
20082,33370,合作,合作
20082,31000,合作,合作
20082,30415,合作,合作
20082,33003,合作,合作
20082,30202,合作,合作
20082,31858,合作,合作
20082,32896,合作,合作
20082,32499,合作,合作
20082,31662,合作,合作
20082,32212,合作,合作
20082,31997,合作,合作
20082,31358,合作,合作
20082,32176,合作,合作
20082,30449,合作,合作
20082,31020,合作,合作
20082,33006,合作,合作
20082,30120,合作,合作
20082,30178,合作,合作
20137,30929,合作,合作
20137,33115,合作,合作
20137,30651,合作,合作
20137,32184,合作,合作
20137,33146,合作,合作
20137,30150,合作,合作
20137,32975,合作,合作
20137,33200,合作,合作
20137,30029,合作,合作
20137,30488,合作,合作
20137,32332,合作,合作
20137,33290,合作,合作
20137,30816,合作,合作
20137,32215,合作,合作
20137,31227,合作,合作
20100,32170,合作,合作
20100,31453,合作,合作
20100,32427,合作,合作
20100,32513,合作,合作
20100,31083,合作,合作
20100,33203,合作,合作
20100,33075,合作,合作
20100,31475,合作,合作
20044,30962,合作,合作
20044,30201,合作,合作
20044,30121,合作,合作
20044,31919,合作,合作
20044,31532,合作,合作
20044,33399,合作,合作
20044,32313,合作,合作
20044,31050,合作,合作
20044,31637,合作,合作
20044,32884,合作,合作
20044,32298,合作,合作
20182,30962,合作,合作
20182,30201,合作,合作
20182,30121,合作,合作
20182,31919,合作,合作
20182,31532,合作,合作
20182,33399,合作,合作
20182,32313,合作,合作
20182,31050,合作,合作
20182,31637,合作,合作
20182,32884,合作,合作
20182,32298,合作,合作
20016,30911,合作,合作
20016,32055,合作,合作
20016,32846,合作,合作
20016,30136,合作,合作
20016,32845,合作,合作
20016,31740,合作,合作
20016,33058,合作,合作
20016,30553,合作,合作
20016,32698,合作,合作
20016,33310,合作,合作
20016,33083,合作,合作
20016,33299,合作,合作
20016,31970,合作,合作
20016,31029,合作,合作
20016,32654,合作,合作
20016,31161,合作,合作
20016,30518,合作,合作
20016,30767,合作,合作
20016,32678,合作,合作
20016,31567,合作,合作
20016,32273,合作,合作
20016,31471,合作,合作
20016,31220,合作,合作
20016,30500,合作,合作
20016,32689,合作,合作
20016,33187,合作,合作
20016,32233,合作,合作
20016,31130,合作,合作
20016,30588,合作,合作
20016,30437,合作,合作
20016,32585,合作,合作
20016,31325,合作,合作
20016,30237,合作,合作
20107,30911,合作,合作
20107,32055,合作,合作
20107,32846,合作,合作
20107,30136,合作,合作
20107,32845,合作,合作
20107,31740,合作,合作
20107,33058,合作,合作
