:START_ID,:END_ID,relation,:TYPE
20130,10235,导演,导演
20191,10236,导演,导演
20046,10237,导演,导演
20192,10238,导演,导演
20181,10239,导演,导演
20099,10240,导演,导演
20156,10241,导演,导演
20111,10242,导演,导演
20116,10243,导演,导演
20009,10244,导演,导演
20126,10245,导演,导演
20153,10246,导演,导演
20008,10247,导演,导演
20075,10248,导演,导演
20155,10249,导演,导演
