:START_ID,:END_ID,relation,:TYPE
10067,40013,属于类型,属于类型
10067,40027,属于类型,属于类型
10067,40012,属于类型,属于类型
10068,40015,属于类型,属于类型
10068,40003,属于类型,属于类型
10069,40015,属于类型,属于类型
10069,40008,属于类型,属于类型
10070,40015,属于类型,属于类型
10070,40008,属于类型,属于类型
10071,40015,属于类型,属于类型
10071,40011,属于类型,属于类型
10071,40018,属于类型,属于类型
10071,40010,属于类型,属于类型
10072,40015,属于类型,属于类型
10072,40011,属于类型,属于类型
10072,40010,属于类型,属于类型
10073,40015,属于类型,属于类型
10073,40021,属于类型,属于类型
10073,40006,属于类型,属于类型
10073,40005,属于类型,属于类型
10074,40015,属于类型,属于类型
10074,40008,属于类型,属于类型
10075,40015,属于类型,属于类型
10076,40003,属于类型,属于类型
10076,40008,属于类型,属于类型
10076,40013,属于类型,属于类型
10077,40015,属于类型,属于类型
10077,40003,属于类型,属于类型
10077,40010,属于类型,属于类型
10078,40015,属于类型,属于类型
10078,40003,属于类型,属于类型
10078,40024,属于类型,属于类型
10078,40010,属于类型,属于类型
10079,40015,属于类型,属于类型
10079,40010,属于类型,属于类型
10080,40015,属于类型,属于类型
10080,40006,属于类型,属于类型
10080,40005,属于类型,属于类型
10081,40003,属于类型,属于类型
10081,40002,属于类型,属于类型
10081,40013,属于类型,属于类型
10081,40025,属于类型,属于类型
10082,40015,属于类型,属于类型
10082,40023,属于类型,属于类型
10082,40021,属于类型,属于类型
10083,40015,属于类型,属于类型
10083,40008,属于类型,属于类型
10083,40013,属于类型,属于类型
10083,40012,属于类型,属于类型
10084,40011,属于类型,属于类型
10084,40018,属于类型,属于类型
10084,40004,属于类型,属于类型
10085,40024,属于类型,属于类型
10085,40007,属于类型,属于类型
10086,40003,属于类型,属于类型
10086,40010,属于类型,属于类型
10087,40015,属于类型,属于类型
10087,40010,属于类型,属于类型
10088,40007,属于类型,属于类型
10088,40011,属于类型,属于类型
10088,40018,属于类型,属于类型
10089,40003,属于类型,属于类型
10089,40008,属于类型,属于类型
10089,40001,属于类型,属于类型
10090,40015,属于类型,属于类型
10090,40023,属于类型,属于类型
10090,40021,属于类型,属于类型
10090,40005,属于类型,属于类型
10091,40015,属于类型,属于类型
10092,40015,属于类型,属于类型
10092,40014,属于类型,属于类型
10093,40015,属于类型,属于类型
10093,40011,属于类型,属于类型
10093,40010,属于类型,属于类型
10094,40015,属于类型,属于类型
10094,40024,属于类型,属于类型
10094,40013,属于类型,属于类型
10094,40025,属于类型,属于类型
10095,40017,属于类型,属于类型
10096,40015,属于类型,属于类型
10096,40014,属于类型,属于类型
10097,40015,属于类型,属于类型
10097,40021,属于类型,属于类型
10098,40015,属于类型,属于类型
10098,40002,属于类型,属于类型
10098,40020,属于类型,属于类型
10098,40014,属于类型,属于类型
10098,40025,属于类型,属于类型
10099,40015,属于类型,属于类型
10099,40008,属于类型,属于类型
10100,40003,属于类型,属于类型
10100,40002,属于类型,属于类型
10100,40001,属于类型,属于类型
10100,40013,属于类型,属于类型
10101,40015,属于类型,属于类型
10101,40008,属于类型,属于类型
10102,40015,属于类型,属于类型
10102,40011,属于类型,属于类型
10102,40010,属于类型,属于类型
10103,40015,属于类型,属于类型
10103,40006,属于类型,属于类型
10103,40005,属于类型,属于类型
10104,40015,属于类型,属于类型
10105,40015,属于类型,属于类型
10106,40015,属于类型,属于类型
10106,40003,属于类型,属于类型
10106,40025,属于类型,属于类型
